Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
MARCO,16509,6.510964198,6.525706034,241.3219166,0,0,851.0220499
STEAP2,386,6.604901793,6.602390747,241.3058332,0,0,851.0001904
EGFL7,2464,6.997080044,6.981749387,241.3007867,0,0,850.9933311
AFG3L1P,12976,6.811630243,6.780457446,241.2927415,0,0,850.9823959
XXYLT1,19913,6.419270964,6.436866619,241.2902772,0,0,850.9790462
NCAPH,14298,6.620492963,6.619303257,241.265736,0,0,850.9456864
UCN3,9287,6.516378218,6.543978404,241.2469925,0,0,850.9202053
PYCR3,48,6.783832571,6.808825938,241.225831,0,0,850.8914345
OTUD6A,22590,11.89830815,11.91250878,241.2246053,0,0,850.889768
SMIM5,21771,6.652072334,6.663326345,241.209434,0,0,850.8691397
CLBA1,26465,12.99558055,12.96920594,241.1007194,0,0,850.7212835
MED16,12255,6.630513163,6.659617478,241.0932098,0,0,850.7110677
C16orf72,21590,6.528012896,6.540427806,241.0197245,0,0,850.6110833
SEPTIN7P3,23514,7.292152546,7.283502513,240.9976963,0,0,850.5811056
SLC25A25-AS1,9438,6.412764219,6.423845875,240.9278124,0,0,850.485984
SDHA,3745,6.776666245,6.734823031,240.880236,0,0,850.4212101
COL11A2,22807,6.944931409,6.907414157,240.8684204,0,0,850.4051215
OIP5,17172,7.076279548,7.040597314,240.851886,0,0,850.3826062
DIRAS2,1517,6.551749424,6.560400597,240.823428,0,0,850.3438507
BCL2,20379,10.71070235,10.62667553,240.8226919,0,0,850.3428481
CARNS1,18505,6.88004057,6.901037144,240.8027541,0,0,850.315693
SPRYD3,15814,6.795749817,6.75051733,240.7809362,0,0,850.2859745
MMP9,5285,7.054605117,7.074935125,240.7544064,0,0,850.2498342
PLCZ1,6109,7.336854605,7.27972228,240.745562,0,0,850.2377851
DGKE,23537,6.537302319,6.548383788,240.7450646,0,0,850.2371074
RHNO1,26411,7.179485691,7.17017187,240.7017599,0,0,850.1781046
PIGU,6096,6.966385065,6.930147865,240.6960706,0,0,850.1703521
LOC105377382,19285,7.138399246,7.168115539,240.6894142,0,0,850.1612815
GPR180,9344,6.538354308,6.548703636,240.6392582,0,0,850.0929268
DBR1,27263,6.555375777,6.577989411,240.63404,0,0,850.0858144
CCNYL2,3958,6.955872858,6.945337884,240.5518041,0,0,849.9737063
PNPO,4432,6.638450453,6.641329992,240.4781113,0,0,849.8732116
LEMD1,3341,6.850620497,6.900924677,240.3955292,0,0,849.7605576
SYT4,19144,6.790116877,6.765415888,240.3574683,0,0,849.7086238
PDHA1,28200,6.483813911,6.496927632,240.3199273,0,0,849.6573914
SSBP3P2,16895,6.759547402,6.768537092,240.3164414,0,0,849.6526337
PTPN7,27304,7.070872318,7.050586483,240.2992191,0,0,849.6291273
LITAF,8904,11.97762176,11.95786431,240.2519569,0,0,849.5646111
MGST1,12983,13.31749734,13.28388954,240.2442464,0,0,849.5540845
DST,6469,6.884922873,6.882545621,240.2429621,0,0,849.5523311
ANGPT2,2980,6.663256517,6.688470914,240.1539519,0,0,849.4307866
THNSL2,23348,6.501948819,6.51781009,240.1505001,0,0,849.4260722
MGST1,8715,6.727605835,6.725231495,240.1042796,0,0,849.3629386
DPY19L2P2,14918,14.19792811,14.2100145,240.1007099,0,0,849.3580623
ZNF787,19335,7.157826961,7.125229432,240.0637372,0,0,849.3075509
EDRF1,20839,6.678481876,6.646601042,240.0566007,0,0,849.2978003
NTN4,11857,6.324830081,6.299440224,240.0067859,0,0,849.2297298
KATNB1,22079,6.765115141,6.754288451,239.9992686,0,0,849.2194565
SLC17A6,1216,6.369320603,6.376240834,239.991622,0,0,849.209006
CACNB1,20412,6.673239121,6.673724316,239.9717169,0,0,849.1818005
IMMT,11298,6.756301705,6.732227641,239.9081399,0,0,849.0948909
DYRK1A,24609,7.022572217,6.96950622,239.8371591,0,0,848.9978328
ARFGAP2,20286,6.570053833,6.589494875,239.8339702,0,0,848.9934717
S100B,2129,6.682013814,6.65770276,239.7797217,0,0,848.9192724
LDHA,16849,7.460169863,7.481947537,239.7612814,0,0,848.8940466
DSN1,11451,12.37449407,12.34592027,239.7538472,0,0,848.8838762
MSMB,13301,6.676333193,6.676820791,239.7242617,0,0,848.8433987
SERPINB1,7958,6.681195943,6.692622221,239.696835,0,0,848.8058703
LYPD6B,22121,6.408361799,6.4194944,239.6564314,0,0,848.7505773
NANOS2,13229,6.583256574,6.595138441,239.6366346,0,0,848.7234817
XAGE1B,5942,6.423715953,6.43488099,239.5890968,0,0,848.658408
LOC401357,19235,6.632107237,6.643468105,239.5510262,0,0,848.6062845
