Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
PNLIP,22534,0.097537149,10.13955382,0.988028839,0.323857004,0.99995045,-5.222843549
TTF2,25898,-0.01810138,6.666124866,-0.987948811,0.323896139,0.99995045,-5.222913059
EIF3L,8566,0.082473734,10.78472318,0.987859662,0.323939738,0.99995045,-5.222990485
SGPP2,19539,0.061233294,8.333086113,0.987783351,0.323977062,0.99995045,-5.223056755
C1orf74,20920,0.059282407,6.485073349,0.987698504,0.324018564,0.99995045,-5.223130432
AP1M1,3064,0.070291478,7.207809454,0.987672195,0.324031433,0.99995045,-5.223153275
SEMA3E,27909,0.049860764,7.009523144,0.987589601,0.324071838,0.99995045,-5.223224988
TNFRSF6B,21977,-0.03295963,6.78383929,-0.987530735,0.324100636,0.99995045,-5.223276095
ABCF1,5887,-0.01854961,6.343380938,-0.98747155,0.324129593,0.99995045,-5.223327476
SCARA3,6041,-0.024500463,6.656906068,-0.987402905,0.32416318,0.99995045,-5.223387065
L3MBTL3,19113,0.071088422,7.182658736,0.987336674,0.324195588,0.99995045,-5.223444556
DIO2,16068,0.019908857,6.576800514,0.9872917,0.324217596,0.99995045,-5.223483593
LDHAL6FP,3759,-0.091433878,6.711824486,-0.987240993,0.32424241,0.99995045,-5.223527603
CPNE2,12104,0.148172952,7.504386368,0.987230146,0.324247718,0.99995045,-5.223537017
AP1S1,11725,0.133436981,7.364143239,0.987058083,0.324331931,0.99995045,-5.223686338
L3MBTL2,7999,-0.051384364,7.29462995,-0.987053159,0.324334341,0.99995045,-5.223690611
EIF5A2,20434,-0.019378155,6.438849117,-0.986938849,0.324390295,0.99995045,-5.223789797
PADI6,14052,-0.062161122,7.796163806,-0.986880005,0.324419102,0.99995045,-5.223840852
EIF3G,27328,0.020394066,6.704672104,0.986793682,0.324461364,0.99995045,-5.223915743
RPL29P32,19851,-0.241816714,7.657779251,-0.986782781,0.324466701,0.99995045,-5.2239252
UPK1A,12546,0.143933459,7.762061095,0.986636011,0.324538564,0.99995045,-5.224052515
SMPD2,13675,0.044173689,6.906308064,0.986507173,0.324601657,0.99995045,-5.22416426
CT45A10,23757,-0.020955614,6.398520814,-0.986453395,0.324627994,0.99995045,-5.224210899
SLC22A10,15532,-0.104777673,10.76058762,-0.986358925,0.324674265,0.99995045,-5.224292822
KLF10,3648,-0.022406855,6.6842186,-0.986349509,0.324678876,0.99995045,-5.224300987
DNM3,6703,-0.018595196,6.328768863,-0.986283768,0.324711078,0.99995045,-5.224357991
TWNK,18594,0.018828116,6.585781738,0.98620423,0.324750041,0.99995045,-5.224426954
CASTOR3,8101,-0.051250858,7.146686822,-0.986154544,0.324774381,0.99995045,-5.224470031
PSD,21887,0.105130842,9.814270242,0.985969454,0.324865066,0.99995045,-5.224630483
DPY19L4,18892,-0.073885131,8.098726197,-0.985943884,0.324877596,0.99995045,-5.224652647
FZD6,3004,-0.022584512,6.709596514,-0.985886018,0.324905951,0.99995045,-5.224702802
ZC3HAV1L,3326,-0.293960175,10.6383746,-0.985864078,0.324916702,0.99995045,-5.224721817
RNU6ATAC25P,14895,0.104389854,9.695157004,0.985862422,0.324917514,0.99995045,-5.224723253
LINC02090,22561,0.018112786,6.363055755,0.985812927,0.324941769,0.99995045,-5.224766149
PLS3,10621,-0.018191824,6.475729093,-0.985790571,0.324952726,0.99995045,-5.224785525
TCAF2,4385,-0.020936285,6.441525805,-0.985766909,0.324964322,0.99995045,-5.224806031
FAXDC2,26722,-0.082397151,7.747906171,-0.985762165,0.324966647,0.99995045,-5.224810143
EDDM3B,19067,-0.029431754,6.710278437,-0.985755017,0.32497015,0.99995045,-5.224816337
PLEKHF2,995,-0.026905139,6.403255629,-0.985743828,0.324975634,0.99995045,-5.224826033
SHISAL2A,21686,0.017872189,6.327750314,0.98570903,0.324992689,0.99995045,-5.224856189
LCE3B,11984,-0.026719994,6.406591238,-0.985703316,0.324995489,0.99995045,-5.224861141
IGFBP5,10361,0.074196237,9.592268504,0.98564155,0.325025763,0.99995045,-5.224914663
AFAP1,7461,0.097465741,6.812197955,0.985553866,0.325068744,0.99995045,-5.22499064
ZSCAN32,20391,0.020185132,6.518674494,0.985524952,0.325082917,0.99995045,-5.225015692
OSBPL5,9606,0.174230121,7.450040289,0.985409553,0.32513949,0.99995045,-5.22511567
DNAJC15,15492,0.017558703,6.326166565,0.985395491,0.325146384,0.99995045,-5.225127851
ASAP3,25979,0.020696424,6.77427241,0.985267472,0.325209152,0.99995045,-5.225238747
SLC26A9,6160,0.019239467,6.306262022,0.985187843,0.325248199,0.99995045,-5.225307718
IL18BP,25364,-0.018958296,6.404537627,-0.985146621,0.325268413,0.99995045,-5.225343421
RASA2,20584,0.017502852,6.618132677,0.985126226,0.325278415,0.99995045,-5.225361084
CEPT1,21714,0.017520477,6.625212945,0.98512403,0.325279492,0.99995045,-5.225362986
GALR3,27683,0.044082602,6.870613838,0.984998382,0.325341114,0.99995045,-5.225471799
ZNF74,10078,-0.079349123,8.405511273,-0.984992009,0.325344239,0.99995045,-5.225477317
KLHL15,17205,0.019009789,6.287157158,0.984964721,0.325357623,0.99995045,-5.225500947
AKIP1,5548,0.10002548,9.944448014,0.984840189,0.325418707,0.99995045,-5.225608775
C19orf48,12135,0.068118062,10.21253425,0.984807319,0.325434832,0.99995045,-5.225637235
FGG,17034,-0.143987791,6.909451204,-0.98477962,0.32544842,0.99995045,-5.225661215
KLF5,20675,-0.139734337,6.850852599,-0.984734641,0.325470486,0.99995045,-5.225700156
KRT13,21440,-0.139726879,6.84777341,-0.98473254,0.325471516,0.99995045,-5.225701975
DOCK9,21626,0.086693243,8.225153934,0.984600862,0.325536121,0.99995045,-5.225815964
CACNA1B,5604,-0.074561124,10.89074268,-0.984486548,0.325592213,0.99995045,-5.225914909
NAA30,13199,0.108634148,8.978164549,0.984474941,0.325597909,0.99995045,-5.225924955
TADA3,27014,0.016893355,6.508612024,0.984474379,0.325598184,0.99995045,-5.225925442
ADGRG2,2763,0.375993839,11.58738172,0.984465405,0.325602588,0.99995045,-5.225933208
LOC107986437,23318,0.029369452,6.766905921,0.984420385,0.32562468,0.99995045,-5.225972171
TAFA1,24214,-0.079772273,10.3495236,-0.984368635,0.325650077,0.99995045,-5.226016958
