probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
10827_at,1.096970373,7.002787358,8.968848265,1.26055E-14,3.17995E-13,22.82832467,FAM114A2
57448_at,1.096855728,8.699392279,6.018547594,2.61709E-08,7.22511E-08,8.599379086,BIRC6
3840_at,1.096747591,7.650600132,6.925996709,3.59282E-10,1.56986E-09,12.77879403,KPNA4
54839_at,1.096735288,6.465402415,7.930522961,2.49356E-12,2.23537E-11,17.6423804,LRRC49
57449_at,-1.09673215,6.687443374,-10.7742363,1.12979E-18,2.36149E-16,31.98004591,PLEKHG5
2738_at,-1.096720253,5.369042487,-10.13082208,3.13875E-17,2.95282E-15,28.71531848,GLI4
223_at,1.096216893,10.52389115,8.543964716,1.11094E-13,1.79185E-12,20.69280193,ALDH9A1
57472_at,1.096171958,7.865235463,7.915939503,2.68345E-12,2.37237E-11,17.57046522,CNOT6
151651_at,1.096007327,4.314607118,6.468035141,3.22096E-09,1.09091E-08,10.63858583,EFHB
2589_at,1.09599901,8.960956437,7.708046852,7.6135E-12,5.64441E-11,16.54889739,GALNT1
55225_at,1.095854642,5.682817316,6.32461987,6.32693E-09,2.00434E-08,9.980817866,RAVER2
136853_at,-1.095718241,6.970934431,-8.594396508,8.58696E-14,1.46214E-12,20.94546961,SSC4D
100507050_at,-1.095278256,5.989706193,-8.768082265,3.53105E-14,7.23299E-13,21.81741573,TPBGL
140609_at,1.095274042,8.101030711,6.710642332,1.0146E-09,3.91322E-09,11.76521158,NEK7
5577_at,1.095260516,7.258732429,5.243811497,8.21123E-07,1.71369E-06,5.260243644,PRKAR2B
57544_at,1.095089693,6.683149412,4.247749207,4.68491E-05,7.53559E-05,1.381098501,TXNDC16
201725_at,1.095018392,6.27668468,7.265191289,6.85318E-11,3.70691E-10,14.39823791,C4orf46
152518_at,1.094993242,7.179330469,6.531628797,2.38316E-09,8.32338E-09,10.93225803,NFXL1
7561_at,1.094835414,6.918389424,9.161083438,4.69028E-15,1.45247E-13,23.79879591,ZNF14
684959_at,1.094606852,7.406846067,5.126687466,1.3538E-06,2.72569E-06,4.777837223,SNORA25
84622_at,1.094419845,4.840642061,9.431209079,1.16561E-15,4.75623E-14,25.16571045,ZNF594
5723_at,1.094342779,6.056186746,4.602813217,1.17282E-05,2.05474E-05,2.703002622,PSPH
105376287_at,-1.094044814,7.106196291,-9.401305361,1.36003E-15,5.38858E-14,25.01423716,LOC105376287
254531_at,-1.093945878,7.132393911,-8.387893341,2.46136E-13,3.41358E-12,19.91248977,LPCAT4
23595_at,1.093347726,7.887107844,7.568714513,1.52567E-11,1.01797E-10,15.86827539,ORC3
113178_at,-1.093230074,7.967403127,-9.015381177,9.92461E-15,2.61979E-13,23.06303286,SCAMP4
81493_at,1.093154532,5.212315731,7.960514294,2.14403E-12,1.9783E-11,17.79037546,SYNC
4157_at,-1.09286671,7.071488215,-8.696893242,5.08414E-14,9.56953E-13,21.45971213,MC1R
148156_at,1.092834612,7.977426375,7.317276157,5.30241E-11,2.95389E-10,14.64918219,ZNF558
29984_at,-1.092732149,8.424520022,-7.895896127,2.9681E-12,2.57512E-11,17.47167782,RHOD
100129528_at,-1.092713386,8.683658213,-8.568465671,9.8031E-14,1.62203E-12,20.81552343,MUC8
113179_at,-1.092662581,7.75580765,-8.829183543,2.5816E-14,5.66787E-13,22.1247589,ADAT3
3475_at,1.092481812,6.612945344,6.700215074,1.06659E-09,4.08688E-09,11.71644709,IFRD1
