Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
PKD1P6-NPIPP1,2387,9.498658367,9.391877435,62.25376173,2.58E-185,3.33E-185,413.9080203
CCR1,17407,7.280643275,7.33538165,62.25195639,2.60E-185,3.36E-185,413.8991293
DCTN3,15513,8.284435759,8.489172012,62.2391526,2.77E-185,3.58E-185,413.8360663
GHRL,2048,9.54360749,9.581950863,62.22712543,2.94E-185,3.80E-185,413.7768184
GTSF1L,12004,6.726690557,6.683296879,62.2261491,2.95E-185,3.82E-185,413.7720084
LOC107984561,635,9.876862637,9.87260135,62.20522955,3.27E-185,4.23E-185,413.6689308
XRCC2,1260,6.744330217,6.700802153,62.20069659,3.35E-185,4.33E-185,413.6465916
PNMA3,26965,7.646560272,7.756009333,62.1978615,3.39E-185,4.39E-185,413.632619
ARHGEF40,27823,8.513739684,8.588587275,62.19313394,3.47E-185,4.49E-185,413.6093183
CXCR4,1973,6.94618762,7.015624716,62.18945488,3.54E-185,4.57E-185,413.5911844
PDCD7,10941,7.642873192,7.534006678,62.18557439,3.60E-185,4.66E-185,413.5720566
FAM131C,12985,6.567863432,6.609341721,62.18255351,3.66E-185,4.73E-185,413.5571653
PPIL3,20103,7.196467897,7.235563719,62.18091047,3.69E-185,4.77E-185,413.5490658
ZNF232,2405,9.200864468,9.28857576,62.17570404,3.78E-185,4.89E-185,413.5233989
ERCC1,5793,7.555191173,7.442579708,62.17386106,3.82E-185,4.94E-185,413.5143129
PLEKHG4B,2442,9.692528994,9.670182503,62.17105862,3.87E-185,5.01E-185,413.5004962
KCNA5,2016,8.619633758,8.617432168,62.17098722,3.87E-185,5.01E-185,413.5001442
SIGLEC7,16860,9.717042019,9.723493741,62.16725444,3.94E-185,5.10E-185,413.4817399
ATPSCKMT,7077,9.741686322,9.836636521,62.16218343,4.04E-185,5.23E-185,413.4567361
STAT4,15560,10.04159027,9.950671804,62.15375215,4.22E-185,5.45E-185,413.4151597
EOMES,15343,7.563704204,7.503420732,62.14844941,4.33E-185,5.60E-185,413.3890084
SMIM24,20783,6.624033244,6.575109359,62.14204358,4.47E-185,5.78E-185,413.3574145
YIPF4,28236,9.149022476,8.859359308,62.13999141,4.51E-185,5.83E-185,413.3472925
SLC38A1,5362,8.374289652,8.284683327,62.13455967,4.63E-185,5.99E-185,413.3205
TTL,5462,6.247879953,6.356229758,62.13277406,4.67E-185,6.04E-185,413.3116919
BCAM,21492,9.643046484,9.696195348,62.12760629,4.79E-185,6.20E-185,413.2861989
AGRN,8363,7.540428112,7.608263523,62.12560211,4.84E-185,6.26E-185,413.2763117
CLDN8,4351,10.03073498,9.816536963,62.12520063,4.85E-185,6.27E-185,413.2743311
ZNF326,26567,8.907845542,8.840337265,62.12424749,4.87E-185,6.30E-185,413.2696288
DPM3,1342,10.17171777,10.26184598,62.11195121,5.18E-185,6.70E-185,413.2089606
VPS26C,13171,10.19234043,10.08387675,62.09713797,5.57E-185,7.20E-185,413.1358604
HILPDA,19367,8.589055816,8.512542169,62.09116399,5.74E-185,7.42E-185,413.1063759
NLGN4Y,22244,8.708223955,8.585256575,62.08722423,5.85E-185,7.56E-185,413.0869301
AMTN,3730,8.946164222,8.812408962,62.0771627,6.15E-185,7.95E-185,413.0372635
XAGE2,22228,10.79613813,10.97208504,62.07367049,6.26E-185,8.09E-185,413.0200233
NCKIPSD,6086,10.0095207,9.909026732,62.07209968,6.30E-185,8.15E-185,413.0122684
KCNG4,3554,6.918411074,6.989968316,62.06751719,6.45E-185,8.33E-185,412.9896442
LINC01960,21077,7.060351425,7.128664801,62.06334434,6.58E-185,8.51E-185,412.9690411
ZFPM1,14928,10.48960322,10.26345739,62.06182979,6.63E-185,8.57E-185,412.9615628
DMD,23139,8.168663689,8.092334097,62.0605335,6.67E-185,8.62E-185,412.9551622
ICA1L,8437,6.805048318,6.716829291,62.05851962,6.74E-185,8.71E-185,412.945218
KIAA1841,18423,6.595931694,6.712468077,62.04722394,7.13E-185,9.21E-185,412.8894371
LAMP3,23464,9.441500802,9.527232791,62.04675847,7.14E-185,9.23E-185,412.8871383
LYN,24688,7.507148167,7.617652551,62.04321909,7.27E-185,9.39E-185,412.8696581
SNX20,20919,9.158976423,9.246476969,62.04302989,7.28E-185,9.40E-185,412.8687236
CPLX4,653,6.695859623,6.718958077,62.04079637,7.36E-185,9.50E-185,412.8576923
NKX2-6,25184,8.409347391,8.473244986,62.03792711,7.46E-185,9.64E-185,412.8435206
C8orf86,25134,8.195524409,8.272282519,62.02859392,7.81E-185,1.01E-184,412.7974186
UNC5D,5581,6.727997568,6.55836278,62.02202345,8.07E-185,1.04E-184,412.7649598
