Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
DNAJA1P6,12179,-33.1751364,11.0377713,-277.5796555,0,0,893.0470095
SMC5,14728,-22.87986097,7.657398603,-277.5700967,0,0,893.0360313
SUSD5,26886,-25.42147504,8.46526779,-277.5514404,0,0,893.0146035
PRKCQ,14106,-23.81672916,7.947658273,-277.5427357,0,0,893.0046051
TRIM72,25563,-20.74918359,6.935808649,-277.5355726,0,0,892.9963772
PLBD2,25681,-38.34024554,12.80739494,-277.5259902,0,0,892.9853699
GNAZ,23851,-30.58899113,10.20417192,-277.5235462,0,0,892.9825625
SNX21,8633,-18.80178294,6.300087119,-277.5231954,0,0,892.9821594
KHNYN,4422,-25.88032082,8.638226924,-277.4880569,0,0,892.9417923
USP7,6053,-21.49768554,7.166081121,-277.4876674,0,0,892.9413448
B3GLCT,11879,-20.12182239,6.719109099,-277.4862836,0,0,892.939755
SPATA31A6,27598,-33.88417708,11.2488376,-277.4618035,0,0,892.9116288
ATPSCKMT,12873,-19.59477467,6.505705749,-277.458387,0,0,892.9077032
EIF4A2,2765,-22.51365999,7.503162751,-277.4553815,0,0,892.9042499
CHMP5,23773,-30.77570011,10.26560639,-277.4418645,0,0,892.8887181
LINC01928,19250,-21.9834834,7.369664138,-277.4413336,0,0,892.8881081
TRIM64C,2008,-19.56285364,6.534013166,-277.4393791,0,0,892.8858621
WWOX,19184,-20.61074656,6.887152967,-277.4374719,0,0,892.8836706
DIS3,5426,-21.79255863,7.233715828,-277.3989818,0,0,892.8394381
TMEM253,16770,-35.86088185,11.97466322,-277.3967537,0,0,892.8368774
DDX43,17698,-21.06816842,6.989685938,-277.3905591,0,0,892.829758
CNN3,23618,-23.64655081,7.871491112,-277.3881107,0,0,892.826944
HIBCH,8740,-29.51130131,9.872916098,-277.3861338,0,0,892.8246719
C1orf146,4031,-19.47303854,6.506538277,-277.3810091,0,0,892.8187818
VPREB3,25181,-21.32903123,7.119889752,-277.3757722,0,0,892.8127627
ITFG1,21583,-36.95384344,12.29967624,-277.3561783,0,0,892.7902411
CYFIP1,19201,-21.4019129,7.137397363,-277.3435375,0,0,892.7757105
NPEPL1,26695,-19.73392541,6.571045315,-277.3233148,0,0,892.7524632
KCNG2,21061,-22.48365341,7.503298968,-277.3208734,0,0,892.7496565
CHCHD2P4,7998,-19.90813261,6.633055539,-277.2921807,0,0,892.716669
KLRG2,9884,-24.18559973,8.055092767,-277.2501448,0,0,892.6683343
SLC5A9,18744,-19.94483876,6.663578346,-277.1333089,0,0,892.5339503
MAP3K20,17240,-26.09912507,8.657601545,-277.1232393,0,0,892.5223654
C14orf180,7176,-30.91418845,10.32125476,-277.0843153,0,0,892.47758
RPL7AP27,13353,-42.7253873,14.24568795,-277.0802482,0,0,892.4729001
IQCA1L,25673,-21.35026996,7.113888301,-277.0716208,0,0,892.4629724
RGS5,27553,-32.40332145,10.81241355,-277.0456989,0,0,892.4331419
NNT,26715,-23.87565872,7.960226432,-277.0379342,0,0,892.4242058
TMEM191B,14921,-23.86415734,7.960872034,-277.0285875,0,0,892.4134487
TRAP1,12049,-21.36483037,7.107487664,-277.0042068,0,0,892.3853871
METTL16,18527,-32.75730387,10.99906023,-276.9912746,0,0,892.3705014
RAB27B,5787,-19.55952306,6.492978393,-276.9898462,0,0,892.3688572
MALSU1,26937,-20.62593692,6.875121329,-276.9698089,0,0,892.3457915
EGLN1,6614,-19.09207942,6.390695879,-276.9231755,0,0,892.2921032
ACOD1,17662,-21.43166972,7.147420052,-276.9114204,0,0,892.2785682
MYO10,13748,-42.0526719,14.09105641,-276.8846712,0,0,892.2477665
CHEK2P4,3336,-19.02357665,6.36777095,-276.8722697,0,0,892.2334851
SLC27A2,3343,-20.40207233,6.800283188,-276.8500872,0,0,892.2079383
MASP1,271,-21.95698314,7.298242107,-276.849475,0,0,892.2072332
SIAH1,3130,-28.96381915,9.674801903,-276.8392483,0,0,892.1954546
TCL6,9777,-26.16957339,8.695704824,-276.8050489,0,0,892.1560624
STPG2,13739,-20.84874524,6.931540838,-276.7931717,0,0,892.1423806
KCMF1,27182,-20.33086496,6.784410024,-276.7530737,0,0,892.0961854
DNAH10,25344,-21.34734198,7.099980599,-276.7041557,0,0,892.0398194
LINC01881,27192,-21.94463491,7.299661131,-276.6979105,0,0,892.0326226
KIF7,14018,-27.95521166,9.337364884,-276.6805038,0,0,892.0125626
PRF1,16246,-20.65742543,6.89332495,-276.6667026,0,0,891.9966566
GAP43,13189,-29.67647867,9.940875702,-276.6647987,0,0,891.9944623
SILC1,6232,-20.22235804,6.754601904,-276.6090653,0,0,891.9302204
DNAAF4,21017,-28.12016233,9.364776129,-276.597521,0,0,891.9169119
ZBTB22,8142,-29.82855339,9.967498104,-276.5871649,0,0,891.9049728
MAN1C1,6504,-20.64569379,6.88941179,-276.5861422,0,0,891.9037937
SYF2,665,-20.42816732,6.805814453,-276.5539162,0,0,891.8666384
CTRC,24153,-33.57820394,11.20252415,-276.5199633,0,0,891.8274869
RNA5SP400,26653,-20.47934258,6.833741673,-276.5128899,0,0,891.8193299
GAST,7507,-20.609361,6.908502889,-276.5089094,0,0,891.8147394
DNAH8,7053,-20.22686183,6.744156011,-276.4746405,0,0,891.7752167
ZNF514,7743,-21.14990647,7.074697856,-276.4480953,0,0,891.7445982
CYP2T1P,5235,-30.59753987,10.18957756,-276.4299452,0,0,891.7236612
LINC02313,10943,-22.03221493,7.351270502,-276.4145866,0,0,891.7059432
PLSCR2,24428,-22.17855939,7.394588983,-276.3778711,0,0,891.663583
JAG2,6817,-20.51068781,6.841989658,-276.3520322,0,0,891.6337681
LRRN4CL,13866,-20.29180053,6.744004577,-276.3382921,0,0,891.6179125
USP20,18918,-25.55543351,8.523483761,-276.3366865,0,0,891.6160597
CXCL2,747,-24.90066292,8.288349256,-276.3279373,0,0,891.6059628
TEAD2,18814,-21.69669273,7.207395562,-276.270252,0,0,891.539384
CRB3,7185,-28.38342254,9.452667316,-276.2375886,0,0,891.5016782
MRPL11,11069,-22.41238519,7.45141941,-276.2094156,0,0,891.4691522
FBN3,10618,-29.53173195,9.852964988,-276.2085928,0,0,891.4682022
ISY1,9353,-34.34932759,11.43361158,-276.1944792,0,0,891.4519066
SMYD5,19747,-19.15441896,6.392035102,-276.1808994,0,0,891.4362263
IPO7P1,5584,-21.76341619,7.230552725,-276.1808651,0,0,891.4361867
CCDC96,11114,-26.61027026,8.8845951,-276.1796572,0,0,891.4347919
LOC105373025,20836,-20.67654808,6.896679975,-276.1708023,0,0,891.4245669
TRPC6,21817,-25.81008412,8.630674537,-276.1289321,0,0,891.3762136
GAS7,10457,-20.91703367,6.989770238,-276.1112112,0,0,891.3557464
SIVA1,24533,-28.06119375,9.334675849,-276.0887289,0,0,891.329778
HIVEP1,6984,-28.57354594,9.510839985,-276.0863806,0,0,891.3270654
DCTD,22733,-30.47615867,10.13349905,-276.0801669,0,0,891.3198876
C16orf70,22062,-37.3216158,12.45225247,-276.0688119,0,0,891.3067706
LOC101929479,13464,-35.31033931,11.76061208,-276.0569004,0,0,891.2930101
MYOF,17027,-30.05217798,9.998457703,-276.0547446,0,0,891.2905196
SNURF,17423,-19.67909419,6.573355979,-276.054493,0,0,891.2902289
C1orf216,14469,-29.31244705,9.819027724,-276.0539308,0,0,891.2895794
ACP6,26349,-27.69967877,9.234923244,-276.0464558,0,0,891.2809437
MYRIP,17046,-22.89439781,7.635127211,-276.0390897,0,0,891.2724335
HOXD3,16361,-24.70285462,8.251233902,-275.9865005,0,0,891.2116691
SMIM13,8888,-22.35599149,7.427869511,-275.9837036,0,0,891.2084371
PPP2R1B,26160,-21.54813505,7.190781174,-275.9815603,0,0,891.2059603
COX18,1975,-25.32354273,8.443504274,-275.9374678,0,0,891.1550029
MTR,14143,-21.63010766,7.18252205,-275.9072444,0,0,891.1200689
ASCC3,16717,-20.85674704,6.959797123,-275.9038614,0,0,891.1161584
HLA-DQA2,13358,-36.58522168,12.19109162,-275.9001658,0,0,891.1118865
OR4F17,1901,-19.64768016,6.562874205,-275.8187277,0,0,891.0177326
AP5M1,27882,-21.23078358,7.079088017,-275.7419992,0,0,890.9289964
ZNF266,14147,-25.8002847,8.603710909,-275.7363511,0,0,890.9224633
DBNL,20195,-24.73358839,8.242597126,-275.7341643,0,0,890.9199338
TXNL4A,11082,-30.04733444,10.05498833,-275.7116779,0,0,890.8939226
EFNB1,24972,-21.10207633,7.019344213,-275.687423,0,0,890.8658631
CD34,24630,-22.39832106,7.446825283,-275.6785589,0,0,890.8556079
PPIAP8,10285,-28.96932372,9.664005859,-275.6784555,0,0,890.8554883
SASH3,20220,-26.68059464,8.889548657,-275.6657311,0,0,890.8407665
HSF1,20410,-20.590759,6.868066822,-275.634791,0,0,890.8049663
RBBP9,7056,-19.05454908,6.37825848,-275.6148265,0,0,890.7818635
NWD2,25436,-20.94953131,7.023080211,-275.6118425,0,0,890.7784102
CFAP74,10282,-32.10833431,10.68945982,-275.5968712,0,0,890.7610842
BATF2,15895,-24.56251609,8.185642836,-275.5811205,0,0,890.742855
SCN2A,20897,-34.45455825,11.50893543,-275.5659765,0,0,890.725327
LOC105372902,22690,-21.64218842,7.201390045,-275.5386495,0,0,890.6936955
EEF1G,7802,-20.66802814,6.881493809,-275.5379884,0,0,890.6929302
SHCBP1,17492,-23.59573275,7.854743805,-275.5339491,0,0,890.6882543
MICU3,22166,-19.52708414,6.519321358,-275.4777913,0,0,890.6232389
NOX1,2348,-32.0776749,10.71870609,-275.4697289,0,0,890.6139036
LOC107986454,23256,-40.17088722,13.39881851,-275.4676002,0,0,890.6114388
ARRDC2,5770,-19.77402087,6.612181884,-275.441132,0,0,890.5807896
PSD4,13606,-23.1070134,7.711669525,-275.4367013,0,0,890.5756587
FIBIN,10834,-33.05874817,11.0208666,-275.4123179,0,0,890.5474205
SPATA31D1,18116,-20.98520384,6.989731943,-275.4075321,0,0,890.5418777
KTN1,3207,-21.18376971,7.065957462,-275.3938492,0,0,890.5260302
DSTYK,23832,-20.72416474,6.924267517,-275.3867626,0,0,890.5178222
