probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
29071_at,1.140313313,8.583114809,8.619101021,7.56854E-14,6.66813E-13,21.01744753,C1GALT1C1
54892_at,1.140160786,6.795672139,7.44675813,2.79576E-11,1.26309E-10,15.20360456,NCAPG2
1291_at,-1.139779075,7.838979395,-10.87718085,6.65232E-19,3.48507E-17,32.49469737,COL6A1
91612_at,1.139142988,8.194047913,7.490157608,2.25438E-11,1.04006E-10,15.41493853,CHURC1
10773_at,1.138507843,4.482638943,9.456650652,1.02221E-15,1.65341E-14,25.25871751,ZBTB6
10778_at,1.138163401,5.630512112,11.60771717,1.55929E-20,1.84627E-18,36.1967683,ZNF271P
81876_at,-1.137955526,9.127319739,-7.785836439,5.15768E-12,2.75345E-11,16.86398343,RAB1B
1063_at,1.137448794,6.443995445,5.90254761,4.44671E-08,1.10542E-07,7.990614393,CENPF
2532_at,-1.137026143,8.071538919,-3.599026735,0.000489245,0.0007395,-0.951444055,ACKR1
9532_at,1.1368362,6.433780599,8.924477874,1.58317E-14,1.72553E-13,22.55843982,BAG2
64863_at,1.136828621,6.290445721,10.97617354,3.99453E-19,2.34453E-17,32.99779301,METTL4
57544_at,1.136445045,6.683149412,5.220022934,9.09329E-07,1.87429E-06,5.059936577,TXNDC16
255189_at,-1.134977972,7.071261292,-6.323345302,6.36483E-09,1.8166E-08,9.886743817,PLA2G4F
51136_at,1.134560766,6.598696719,8.148395209,8.30148E-13,5.34741E-12,18.66015694,RNFT1
57037_at,1.134360889,8.048665313,7.198009316,9.53359E-11,3.84043E-10,13.99971642,ANKMY2
126119_at,-1.133545133,7.782574897,-6.47998625,3.04394E-09,9.18022E-09,10.60755826,JOSD2
91544_at,-1.133333251,8.074500881,-10.36121955,9.5409E-18,3.12198E-16,29.86781778,UBXN11
55857_at,1.131364879,7.87617566,7.528691412,1.8617E-11,8.76466E-11,15.602883,KIZ
94121_at,1.131353325,7.055320118,6.134373209,1.5346E-08,4.08561E-08,9.027660864,SYTL4
124808_at,1.131154408,7.176991189,10.45488951,5.88048E-18,2.09853E-16,30.34514864,CCDC43
