Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
ZNF333,15113,-0.012032801,6.339678371,-0.821017537,0.412224567,0.997655044,-5.724352006
RGS7BP,20817,-0.066290556,8.325287172,-0.82098294,0.412244246,0.997655044,-5.724378865
ZBED9,25319,0.01224678,6.461681517,0.820955741,0.412259716,0.997655044,-5.72439998
IFI44L,16139,0.010751158,6.604199638,0.820951718,0.412262005,0.997655044,-5.724403103
MFSD6L,27827,-0.063338455,10.37958823,-0.820947551,0.412264375,0.997655044,-5.724406338
POLR3H,26437,0.079486545,8.029299707,0.820836248,0.412327689,0.997655044,-5.724492735
MND1,19148,0.025284027,6.759913842,0.820752895,0.412375108,0.997655044,-5.72455743
USP31,15352,0.036764113,7.394866018,0.820696699,0.412407079,0.997655044,-5.724601042
CACNA1A,8225,0.021521145,6.732153783,0.820690163,0.412410798,0.997655044,-5.724606115
ICAM4,5730,0.021452569,6.729474172,0.820677631,0.412417928,0.997655044,-5.72461584
DUSP18,6905,-0.010255428,6.50833427,-0.820670998,0.412421702,0.997655044,-5.724620988
ZNF782,14192,-0.044015699,6.979336632,-0.820604617,0.41245947,0.997655044,-5.7246725
LGR6,10176,-0.165544364,9.697321659,-0.820545954,0.412492849,0.997655044,-5.724718019
FOXN1,342,0.034755973,7.590175822,0.820438757,0.412553847,0.997655044,-5.724801189
EVC,2914,-0.046690317,10.69894918,-0.820375032,0.412590112,0.997655044,-5.724850625
LINC02320,20627,-0.010015339,6.30748337,-0.820136926,0.412725628,0.997655044,-5.72503531
UTP3,18044,0.009132225,6.425368975,0.820126623,0.412731493,0.997655044,-5.725043301
STAP1,2452,0.00981119,6.33415128,0.82006459,0.412766803,0.997655044,-5.725091407
CISD3,13486,0.069741485,9.533879771,0.819968836,0.412821311,0.997655044,-5.725165656
RPS7P3,5160,0.062010587,9.682536057,0.819865709,0.412880022,0.997655044,-5.725245613
ERMN,23358,0.034900678,7.728843915,0.819829437,0.412900672,0.997655044,-5.725273732
TPBGL,3451,-0.051399284,7.486013118,-0.81978587,0.412925477,0.997655044,-5.725307506
FUT8,18069,0.01505005,6.612598352,0.819784517,0.412926248,0.997655044,-5.725308555
FOXD1,16156,-0.069620525,10.04410936,-0.81977438,0.41293202,0.997655044,-5.725316414
ARRDC2,17081,0.070739915,9.289436238,0.819707725,0.412969971,0.997655044,-5.725368081
RPS3A,22799,-0.064067238,9.566903852,-0.819660561,0.412996827,0.997655044,-5.725404639
THAP1,13285,0.054605435,10.36089405,0.819659802,0.412997259,0.997655044,-5.725405227
