probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
57449_at,-1.026782593,6.687443374,-12.87918493,2.08869E-23,3.42279E-21,42.72268356,PLEKHG5
114_at,-1.026056521,4.909141838,-11.82796459,4.42615E-21,2.44381E-19,37.42894639,ADCY8
5524_at,-1.025524814,9.44193405,-9.695127148,2.75051E-16,2.88634E-15,26.51987359,PTPA
51738_at,-1.024782314,5.889597061,-13.57525335,6.33647E-25,1.96661E-22,46.17572706,GHRL
29948_at,-1.023610844,6.849203548,-11.53472309,1.99803E-20,8.53981E-19,35.93898145,OSGIN1
8986_at,-1.02276612,8.688541388,-11.11977727,1.69982E-19,5.15838E-18,33.82250016,RPS6KA4
29882_at,-1.022764212,8.20375384,-10.50291774,4.15172E-18,7.74535E-17,30.6636692,ANAPC2
79934_at,-1.022075918,7.673791199,-11.66756938,1.00873E-20,4.79418E-19,36.61463034,COQ8B
5551_at,-1.020227124,8.234050975,-4.979410371,2.48977E-06,4.22749E-06,4.019482665,PRF1
441058_at,-1.020079091,4.84760149,-11.76791587,6.02389E-21,3.09257E-19,37.12427549,LINC01667
7089_at,-1.019899192,8.131297624,-7.459573149,2.52345E-11,8.31702E-11,15.25210413,TLE2
404217_at,-1.019858738,7.378225986,-7.063362275,1.78236E-10,5.0821E-10,13.33116597,CTXN1
23396_at,-1.019560079,9.067218211,-11.56378522,1.7204E-20,7.53582E-19,36.08687821,PIP5K1C
140467_at,-1.018814626,7.662277661,-11.75464676,6.44864E-21,3.25355E-19,37.0569201,ZNF358
83957_at,-1.017956527,5.487837305,-12.71494205,4.79195E-23,6.81654E-21,41.90210857,FRMD8P1
84836_at,-1.017853476,9.259853531,-8.975655266,1.1393E-14,7.55503E-14,22.84278593,ABHD14B
80772_at,-1.01679637,7.68317427,-8.005289614,1.63077E-12,6.66893E-12,17.94805104,CPTP
284454_at,-1.016623097,8.600058331,-5.831894604,6.01723E-08,1.22717E-07,7.633502143,MIR23AHG
57555_at,-1.013348007,7.732881493,-14.36510238,1.27695E-26,8.36175E-24,50.03068261,NLGN2
5763_at,-1.011890662,8.832966386,-8.046240536,1.32535E-12,5.50234E-12,18.15232553,PTMS
374920_at,-1.011617199,6.893822509,-11.87176657,3.53553E-21,2.02862E-19,37.65103563,ZSWIM9
92799_at,-1.011342005,7.771216808,-9.962708088,6.85846E-17,8.78983E-16,27.89205986,SHKBP1
3675_at,-1.010965748,7.57612465,-5.356786569,4.97241E-07,9.09905E-07,5.579419569,ITGA3
4494_at,-1.010446606,11.06310762,-3.257880264,0.001508996,0.002005468,-2.075977277,MT1F
23647_at,-1.008200201,9.643831812,-13.31894288,2.27959E-24,5.49355E-22,44.91113642,ARFIP2
6947_at,-1.007678018,7.50408252,-2.213674316,0.028995988,0.034622781,-4.745944651,TCN1
2810_at,-1.006730352,10.73085685,-4.461923991,2.03298E-05,3.1789E-05,1.998027012,SFN
56949_at,-1.006463572,6.144259333,-8.017715213,1.53136E-12,6.29632E-12,18.0100073,XAB2
55201_at,-1.00601816,8.057717312,-8.638824639,6.44724E-14,3.5979E-13,21.13259102,MAP1S
29850_at,-1.005991107,5.485353762,-12.02760181,1.59141E-21,1.05156E-19,38.44010068,TRPM5
124930_at,-1.005278007,7.858257251,-9.699631645,2.68697E-16,2.82836E-15,26.54296096,ANKRD13B
389119_at,-1.004686501,7.155202323,-9.516303526,6.95313E-16,6.43306E-15,25.60380853,INKA1
23400_at,-1.004679769,7.581219151,-8.129691745,8.67967E-13,3.7391E-12,18.56934938,ATP13A2
27240_at,-1.003473281,6.448811679,-10.7988393,8.94982E-19,2.1194E-17,32.1804293,SIT1
9296_at,-1.002020983,10.2109753,-7.843224615,3.69663E-12,1.41695E-11,17.14212972,ATP6V1F
92369_at,-1.001737841,5.963108233,-10.37092667,8.23622E-18,1.39546E-16,29.98661817,SPSB4
53827_at,-1.001586625,8.530346992,-6.053936559,2.17929E-08,4.66318E-08,8.624247648,FXYD5
57658_at,-1.001068036,8.468748507,-12.06786872,1.29517E-21,9.08568E-20,38.64371052,CALCOCO1
7351_at,-1.000968542,10.83181876,-7.411160575,3.20969E-11,1.03686E-10,15.01557913,UCP2
23766_at,-1.000937823,4.775009898,-12.04767919,1.43606E-21,9.74048E-20,38.54163674,GABARAPL3
2907_at,-1.000139126,9.175448253,-9.272876372,2.45318E-15,1.94696E-14,24.35873916,GRINA
64216_at,1.000112926,8.218829733,8.667398977,5.56762E-14,3.14613E-13,21.27728713,TFB2M
100289635_at,1.000210276,7.637106419,8.652362316,6.01446E-14,3.37627E-13,21.20113405,ZNF605
9044_at,1.000647414,7.782439188,5.124103305,1.35258E-06,2.3622E-06,4.609556235,BTAF1
115752_at,1.001374336,8.018562268,8.008266219,1.60638E-12,6.57577E-12,17.96289084,DIS3L
51776_at,1.001746733,8.034004015,10.17026138,2.33444E-17,3.46512E-16,28.95700743,MAP3K20
10001_at,1.001750729,6.892318401,8.631885121,6.68098E-14,3.71178E-13,21.09746218,MED6
7743_at,1.001847505,8.367218096,10.25693008,1.4885E-17,2.34001E-16,29.40172709,ZNF189
144165_at,1.002222427,8.403911251,8.431898632,1.8609E-13,9.28817E-13,20.08721163,PRICKLE1
100652772_at,1.00231019,6.458297924,9.08575074,6.45439E-15,4.54492E-14,23.40367574,NNT-AS1
26049_at,1.002390168,7.020169654,4.619873799,1.08634E-05,1.73944E-05,2.599618332,FAM169A
130814_at,1.003568863,8.67847726,7.655680617,9.48269E-12,3.35771E-11,16.21488191,SLC66A3
25821_at,1.003765817,6.956158281,9.730280878,2.2919E-16,2.46184E-15,26.70006418,MTO1
221443_at,1.00548701,6.996560512,10.8858419,5.70279E-19,1.4404E-17,32.62592947,OARD1
56180_at,1.005633566,6.955940839,10.34558684,9.39408E-18,1.57213E-16,29.85661377,MOSPD1
9767_at,1.006143872,7.278990159,9.462678007,9.18087E-16,8.17301E-15,25.3293108,JADE3
11183_at,1.006152474,6.816559454,6.763266199,7.65621E-10,1.98193E-09,11.90101544,MAP4K5
6742_at,1.006379337,10.0848303,8.762129208,3.42184E-14,2.03286E-13,21.75752767,SSBP1
122786_at,1.00664376,8.262387365,7.012208048,2.2885E-10,6.43129E-10,13.08577072,FRMD6
25913_at,1.00664582,7.448651343,8.636323995,6.53051E-14,3.64102E-13,21.11993186,POT1
498_at,1.006785211,11.77704072,7.2566365,6.89589E-11,2.10515E-10,14.26389784,ATP5F1A
49855_at,1.007065317,6.437210408,10.64947651,1.94116E-18,4.03682E-17,31.41511222,SCAPER
80321_at,1.00716115,6.81213861,7.45128949,2.62956E-11,8.63896E-11,15.21159988,CEP70
57820_at,1.007370961,8.980502898,8.514151033,1.22166E-13,6.36107E-13,20.50220793,CCNB1IP1
53407_at,1.007679071,11.07211848,4.971893233,2.56928E-06,4.35672E-06,3.98911018,STX18
2332_at,1.007692805,8.644182717,8.220706088,5.46483E-13,2.45378E-12,19.02525985,FMR1
4430_at,1.008101573,7.603023055,7.456948796,2.5566E-11,8.4195E-11,15.23927046,MYO1B
9525_at,1.008177188,8.84709479,8.604254571,7.69846E-14,4.20408E-13,20.95763891,VPS4B
27235_at,1.008194674,7.994310706,11.72022637,7.69575E-21,3.80772E-19,36.88214633,COQ2
8550_at,1.008239324,6.732622446,11.11341803,1.75663E-19,5.31503E-18,33.79000104,MAPKAPK5
23421_at,1.009091217,8.308023573,7.58674012,1.33873E-11,4.61272E-11,15.87559343,ITGB3BP
23150_at,1.009264013,7.485168234,5.853508543,5.45495E-08,1.11683E-07,7.72912852,FRMD4B
54931_at,1.00932194,8.121082012,9.464241847,9.10678E-16,8.12117E-15,25.3373142,TRMT10C
8634_at,1.009751172,8.289422595,7.491013321,2.15799E-11,7.19235E-11,15.40596001,RTCA
147923_at,1.010241576,6.857424213,12.27894285,4.40813E-22,3.79395E-20,39.70902705,ZNF420
25901_at,1.010324089,8.022624517,9.569627374,5.27372E-16,5.07884E-15,25.87686591,CCDC28A
9778_at,1.01057111,6.723957531,7.830366686,3.94395E-12,1.50331E-11,17.07836787,KIAA0232
22950_at,1.010621249,8.125695893,9.630590067,3.84425E-16,3.86387E-15,26.18915491,SLC4A1AP
51193_at,1.010871684,6.227301933,12.19698437,6.69622E-22,5.37903E-20,39.29577598,ZNF639
7752_at,1.010910399,6.718156408,14.76532406,1.81179E-27,1.91137E-24,51.95759344,ZNF200
50862_at,1.011379451,7.764945414,9.647168782,3.52748E-16,3.58417E-15,26.27410101,RNF141
51138_at,1.011588291,9.410235719,8.059991366,1.23614E-12,5.16336E-12,18.22097329,COPS4
9147_at,1.012227394,7.430809954,7.647676958,9.87044E-12,3.48416E-11,16.1754475,NEMF
83657_at,1.012325185,6.937495238,5.708000056,1.05244E-07,2.08553E-07,7.088879622,DYNLRB2
80135_at,1.012381659,9.026559369,9.017004329,9.20432E-15,6.26383E-14,23.05334482,RPF1
5162_at,1.012488677,9.509905734,9.9299317,8.13078E-17,1.01928E-15,27.72391595,PDHB
23314_at,1.012509849,6.246721502,10.07570731,3.81427E-17,5.31506E-16,28.47182673,SATB2
79811_at,1.01280492,9.159499682,6.469368195,3.12104E-09,7.4175E-09,10.52426963,SLTM
1479_at,1.013142283,7.387413043,9.084592079,6.49313E-15,4.56749E-14,23.39776865,CSTF3
